City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Japura,ID,-0.3167,102.35,73.04,97,100,2.04,overcast clouds
210,Victoria,HK,22.2855,114.1577,63.25,77,87,11.99,overcast clouds
211,Cordoba,AR,-31.4135,-64.1811,82.76,34,0,6.91,clear sky
212,Caravelas,BR,-17.7125,-39.2481,70.83,88,100,4.61,overcast clouds
213,Port Elizabeth,ZA,-33.918,25.5701,72.1,96,100,1.99,overcast clouds
214,Colombo,LK,6.9319,79.8478,71.55,85,6,11.32,clear sky
215,Bonthe,SL,7.5264,-12.505,77.09,80,0,6.26,clear sky
216,Talnakh,RU,69.4865,88.3972,-27.74,99,97,4.52,overcast clouds
217,Bratsk,RU,56.1325,101.6142,-8.66,99,93,3.83,overcast clouds
218,Beniganj,IN,27.2833,80.45,47.71,61,14,3.58,few clouds
219,Mount Isa,AU,-20.7333,139.5,82.17,78,100,6.91,overcast clouds
220,Bengkulu,ID,-3.8004,102.2655,73.85,92,100,4.94,overcast clouds
221,Flin Flon,CA,54.7682,-101.865,5.29,99,68,3.53,broken clouds
222,Bocos,PH,16.9265,121.0573,64.18,98,99,2.95,overcast clouds
223,Santa Cruz,BO,-17.8,-63.1667,78.94,71,100,4.56,overcast clouds
224,Hami,CN,42.8,93.45,17.51,59,48,2.64,scattered clouds
225,Hualmay,PE,-11.0964,-77.6139,70.12,85,99,9.42,overcast clouds
226,Chapais,CA,49.7834,-74.8492,26.38,97,99,6.26,overcast clouds
227,Georgetown,MY,5.4112,100.3354,78.73,83,20,3.44,few clouds
228,Havoysund,NO,70.9963,24.6622,30.43,95,100,11.77,snow
229,Gornopravdinsk,RU,60.05,69.9,12.99,92,100,11.79,overcast clouds
230,Stornoway,GB,58.2093,-6.3865,42.93,82,40,24.16,scattered clouds
231,Ndago,TZ,-4.6,34.35,61.77,67,21,4.79,few clouds
232,Terra Santa,BR,-2.1042,-56.4869,78.62,80,91,2.21,overcast clouds
233,Datong,CN,40.0936,113.2914,15.76,57,3,2.86,clear sky
234,Maceio,BR,-9.6658,-35.7353,77.56,81,95,8.77,overcast clouds
235,Outlook,CA,51.5001,-107.0513,10.24,92,13,4.23,few clouds
236,Nalut,LY,30.3333,10.85,49.57,75,4,9.75,clear sky
237,Yumen,CN,40.2833,97.2,15.42,51,0,1.88,clear sky
238,Camalu,MX,30.85,-116.0667,57.85,64,76,7.02,broken clouds
239,Haines Junction,CA,60.7522,-137.5108,19.44,99,97,3.33,overcast clouds
240,Diego De Almagro,CL,-26.3667,-70.05,67.98,41,4,6.33,clear sky
241,Matara,LK,5.9485,80.5353,70.88,91,14,3.24,few clouds
242,Narsaq,GL,60.9167,-46.05,-9.18,63,20,7.61,few clouds
243,Cierna Nad Tisou,SK,48.417,22.0887,45.79,89,96,5.35,overcast clouds
244,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.82,93,99,1.79,overcast clouds
245,Torbay,CA,47.6666,-52.7314,31.57,90,100,4.0,overcast clouds
246,Yulara,AU,-25.2406,130.9889,91.38,33,75,25.1,broken clouds
247,Huilong,CN,31.8111,121.655,40.91,66,86,6.42,overcast clouds
248,Cabo San Lucas,MX,22.8909,-109.9124,75.61,64,0,11.5,clear sky
249,Zhangjiakou,CN,40.81,114.8794,12.36,56,5,2.39,clear sky
250,Lima,PE,-12.0432,-77.0282,74.89,69,85,8.12,overcast clouds
251,Cap Malheureux,MU,-19.9842,57.6142,75.47,77,60,3.0,broken clouds
252,Road Town,VG,18.4167,-64.6167,78.89,70,5,15.86,clear sky
253,Nishihara,JP,26.1842,127.7558,63.68,73,75,9.22,broken clouds
254,Huarmey,PE,-10.0681,-78.1522,70.74,84,100,8.86,overcast clouds
255,Kailua,US,21.4022,-157.7394,81.48,70,25,1.99,scattered clouds
256,Talara,PE,-4.5772,-81.2719,68.76,88,75,18.41,broken clouds
257,Atikokan,CA,48.7555,-91.6216,21.96,90,100,6.15,overcast clouds
258,Poum,NC,-20.2333,164.0167,78.35,66,41,10.67,scattered clouds
